timestamp,src_ip,dst_ip,protocol,attack_type,severity,confidence,status
2026-01-07 22:38:34,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 37453.1701, threshold: 5.7983)"
2026-01-07 22:38:35,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 37452.7280, threshold: 5.7983)"
2026-01-07 22:38:35,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 37560.2895, threshold: 5.7983)"
2026-01-07 22:39:04,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 38820.3527, threshold: 5.7983)"
2026-01-07 22:39:04,185.125.190.57,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 38819.6152, threshold: 5.7983)"
2026-01-07 22:39:05,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51036.1016, threshold: 5.7983)"
2026-01-07 22:39:05,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51035.3665, threshold: 5.7983)"
2026-01-07 22:39:05,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51036.0908, threshold: 5.7983)"
2026-01-07 22:39:05,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51036.1639, threshold: 5.7983)"
2026-01-07 22:39:05,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51035.3557, threshold: 5.7983)"
2026-01-07 22:39:05,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51042.9394, threshold: 5.7983)"
2026-01-07 22:39:05,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51036.0908, threshold: 5.7983)"
2026-01-07 22:39:06,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51061.1628, threshold: 5.7983)"
2026-01-07 22:39:06,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51035.3557, threshold: 5.7983)"
2026-01-07 22:39:07,140.82.121.3,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51035.4309, threshold: 5.7983)"
2026-01-07 22:39:07,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 51036.4619, threshold: 5.7983)"
